,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,state,lat,long,drive_4wd,drive_fwd,drive_other,drive_rwd,fuel_diesel,fuel_gas,fuel_other,state_ut,state_va,state_vt,state_wa,transmission_automatic,transmission_manual,transmission_other,type_SUV,type_bus,type_convertible,type_coupe,type_hatchback,type_mini-van,type_offroad,type_other,type_pickup,type_sedan,type_truck,type_van,type_wagon
1003,0.9333333333333333,0.10221557196719976,0.9611650485436911,0.2702702702702703,0.3622412562455389,excellent,1.0,gas,0.288849396712562,0.0,automatic,4wd,SUV,vt,0.9074744908178389,0.5160086323889237,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1004,0.9333333333333333,0.13325283890991785,0.893203883495147,0.2702702702702703,0.4061384725196288,good,0.6666666666666666,gas,0.21809490884259666,0.0,automatic,rwd,truck,vt,0.8801693172562057,0.5120269332742634,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1005,0.9333333333333333,0.1258453766324195,0.893203883495147,0.2702702702702703,0.3993576017130621,good,0.0,gas,0.19352912436892675,0.0,automatic,4wd,other,vt,0.8801693172562057,0.5120269332742634,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1006,0.9333333333333333,0.0962155275224261,0.786407766990294,0.2702702702702703,0.32441113490364026,good,0.0,gas,0.07535450101286004,0.0,automatic,rwd,truck,vt,0.8801693172562057,0.5120269332742634,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1007,0.9333333333333333,0.03628915769746443,0.8349514563106801,0.2972972972972973,0.7801570306923626,good,0.0,gas,0.342855265300758,1.0,automatic,4wd,truck,vt,0.9170410302485774,0.519452704886085,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1008,0.9333333333333333,0.16288268801991124,0.9417475728155367,0.8108108108108109,0.023197715917202,good,0.0,gas,0.346960991317118,0.0,automatic,4wd,truck,vt,0.8801693172562057,0.5120269332742634,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1010,0.9333333333333333,0.1258453766324195,0.9320388349514594,0.16216216216216217,0.8104925053533191,good,0.0,gas,0.4974271355061014,0.0,automatic,4wd,truck,vt,0.8801693172562057,0.5120269332742634,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1013,0.9333333333333333,0.19991999940740302,0.8640776699029153,0.2972972972972973,0.1859386152748037,good,0.3333333333333333,diesel,0.16601476004217153,0.0,automatic,rwd,truck,vt,0.8801693172562057,0.5120269332742634,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1014,0.9333333333333333,0.0962155275224261,0.7961165048543712,0.2702702702702703,0.40292648108493934,good,0.6666666666666666,gas,0.0877916794047983,0.0,automatic,4wd,truck,vt,0.8801693172562057,0.5120269332742634,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1015,0.9333333333333333,0.14806776346491454,0.8640776699029153,0.2972972972972973,0.185581727337616,good,0.3333333333333333,diesel,0.09509741456404161,0.0,automatic,rwd,truck,vt,0.8801693172562057,0.5120269332742634,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
