,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,state,lat,long,drive_4wd,drive_fwd,drive_other,drive_rwd,fuel_diesel,fuel_gas,fuel_other,state_ut,state_va,state_vt,state_wa,transmission_automatic,transmission_manual,transmission_other,type_SUV,type_bus,type_convertible,type_coupe,type_hatchback,type_mini-van,type_offroad,type_other,type_pickup,type_sedan,type_truck,type_van,type_wagon
15778,0.6666666666666666,0.09258587100645191,0.8349514563106801,0.945945945945946,0.860614724803431,excellent,1.0,gas,0.47142706122017486,0.0,automatic,4wd,pickup,va,0.37320765911823317,0.8235576804359674,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15779,0.6666666666666666,0.039244735146186274,0.8640776699029153,0.35135135135135137,0.26483202287348107,excellent,1.0,gas,0.40571258775025065,0.0,automatic,4wd,SUV,va,0.376866506711357,0.8200683431441265,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15782,0.6666666666666666,0.02584463588619175,0.8737864077669926,0.1891891891891892,0.6951393852751966,excellent,1.0,gas,0.24086925962645606,0.0,automatic,fwd,wagon,va,0.37633563551007865,0.8196238657754324,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15783,0.6666666666666666,0.029548367024940927,0.9223300970873787,0.16216216216216217,0.5271622587562544,excellent,0.3333333333333333,gas,0.360641030402944,0.0,automatic,fwd,sedan,va,0.37633563551007865,0.8196238657754324,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15784,0.6666666666666666,0.036955829302439284,0.9029126213592242,0.972972972972973,0.7351679771265189,excellent,0.3333333333333333,gas,0.39244969271340774,0.0,automatic,fwd,mini-van,va,0.37633563551007865,0.8196238657754324,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15788,0.6666666666666666,0.05917821613493434,0.9126213592233015,0.2972972972972973,0.11150822015725519,excellent,0.3333333333333333,gas,0.3353923868353909,0.0,automatic,fwd,SUV,va,0.37633563551007865,0.8196238657754324,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15789,0.6666666666666666,0.029548367024940927,0.8543689320388381,0.2702702702702703,0.3917083631165118,good,0.0,gas,0.6433561238746396,0.0,automatic,4wd,pickup,va,0.37633563551007865,0.8196238657754324,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15790,0.6666666666666666,0.04440032889132513,0.9126213592233015,0.3783783783783784,0.9438884917798428,excellent,0.3333333333333333,gas,0.4317383763953611,0.0,automatic,fwd,SUV,va,0.3797654798399057,0.8195098972193571,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15791,0.6666666666666666,0.1029563181949496,0.766990291262136,0.16216216216216217,0.2594710507505361,excellent,0.0,gas,0.1134260383601096,0.0,automatic,rwd,other,va,0.3751854145739759,0.8176769029424782,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15794,0.6666666666666666,0.0665856784124327,0.9514563106796139,0.945945945945946,0.2569692637598285,excellent,1.0,gas,0.2685236243532124,0.0,automatic,fwd,sedan,va,0.37633563551007865,0.8196238657754324,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
