,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,state,lat,long,drive_4wd,drive_fwd,drive_other,drive_rwd,fuel_diesel,fuel_electric,fuel_gas,fuel_hybrid,fuel_other,state_ut,state_va,state_vt,state_wa,transmission_automatic,transmission_manual,transmission_other,type_SUV,type_bus,type_convertible,type_coupe,type_hatchback,type_mini-van,type_offroad,type_other,type_pickup,type_sedan,type_truck,type_van,type_wagon
3275,0.9333333333333333,0.0001943757033432621,0.9611650485436911,0.6216216216216217,0.15765124555160143,excellent,0.42857142857142855,gas,0.01935956902468956,0.0,automatic,4wd,sedan,vt,0.921805224112639,0.519603265432409,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3276,0.9333333333333333,0.00010527570181074207,0.9708737864077683,0.972972972972973,0.5409252669039146,excellent,0.42857142857142855,gas,0.022830763470778444,0.0,automatic,fwd,sedan,vt,0.9218023627349428,0.5195957374050928,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3277,0.9333333333333333,8.097570139278206e-05,0.8834951456310698,0.7297297297297298,0.6683274021352313,excellent,0.8571428571428571,gas,0.051214318057091104,0.0,automatic,4wd,SUV,vt,0.9218090392829005,0.5195932280626541,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3278,0.9333333333333333,6.477570111414206e-05,0.9029126213592242,0.7297297297297298,0.7291814946619217,excellent,0.42857142857142855,gas,0.046947124884600185,0.0,automatic,4wd,SUV,vt,0.9218023627349428,0.519603265432409,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3279,0.9333333333333333,7.287570125346206e-05,0.8640776699029153,0.7297297297297298,0.9854092526690392,excellent,0.7142857142857142,gas,0.051274717960451265,0.0,automatic,4wd,SUV,vt,0.921805224112639,0.5195944827338734,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3280,0.9333333333333333,5.667570097482206e-05,0.8737864077669926,0.05405405405405406,0.1,excellent,0.7142857142857142,gas,0.04066713493258411,0.0,automatic,4wd,convertible,vt,0.9218061779052045,0.5196045201036283,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3282,0.9333333333333333,0.00013767570236802209,0.9126213592233015,0.7297297297297298,0.46761565836298935,excellent,0.7142857142857142,gas,0.02963835257863587,0.0,automatic,4wd,truck,vt,0.9215858518226021,0.5195091650909565,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3283,0.9333333333333333,0.00011337570195006207,0.9611650485436911,0.5945945945945946,0.600711743772242,excellent,0.42857142857142855,gas,0.009939184097305445,0.0,automatic,fwd,sedan,vt,0.9218061779052045,0.519603265432409,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3284,0.9333333333333333,0.00017007570292530209,0.9417475728155367,0.35135135135135137,0.7234875444839858,excellent,0.7142857142857142,gas,0.03332474668040531,0.0,automatic,4wd,truck,vt,0.9218023627349428,0.5195963647407025,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3285,0.9333333333333333,8.907570153210206e-05,0.9320388349514594,0.21621621621621623,0.202135231316726,excellent,0.7142857142857142,gas,0.03395714566856693,0.0,automatic,fwd,van,vt,0.9218090392829005,0.5195988740831412,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3286,0.9333333333333333,0.00010527570181074207,0.9417475728155367,0.945945945945946,0.8601423487544485,excellent,0.42857142857142855,gas,0.038413538538338336,0.0,automatic,rwd,truck,vt,0.921805224112639,0.5195963647407025,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3287,0.9333333333333333,0.00015387570264666209,0.9223300970873787,0.8108108108108109,0.3907473309608541,excellent,0.8571428571428571,gas,0.03171314925896118,0.0,automatic,4wd,truck,vt,0.921805224112639,0.5195944827338734,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3288,0.9333333333333333,0.00020247570348258209,0.9611650485436911,0.05405405405405406,0.6964412811387901,excellent,0.42857142857142855,gas,0.013959577664675737,0.0,automatic,4wd,SUV,vt,0.9217995013572468,0.5196064021104574,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3289,0.9333333333333333,6.07014010440641e-05,0.9417475728155367,0.2702702702702703,0.3747330960854093,good,0.7142857142857142,gas,0.06959948864081818,0.0,automatic,4wd,SUV,vt,0.9004574389143551,0.5249186800532558,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3290,0.9333333333333333,6.477570111414206e-05,0.9223300970873787,0.7297297297297298,0.9437722419928827,excellent,0.42857142857142855,gas,0.024977560035903942,0.0,automatic,fwd,hatchback,vt,0.9218033165275082,0.5196026380967993,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
